Time[ms],text
0,Press SPACE to start
16669,5
17669,4
18669,3
19668,2
20668,1
21668,+
22668,+
23667,,,MARK=E1h
24986,LÍŠKA
26448,,,MARK=E0h
27447,LANO
28947,,,MARK=E0h
30047,PLOT
31547,,,MARK=E0h
32547,STAN
34047,,,MARK=E0h
35047,STROM
36547,,,MARK=E0h
37647,ĽAD
39147,,,MARK=E0h
40147,VČELA
41647,,,MARK=E0h
42847,STEAK
44347,,,MARK=E0h
45347,MORE
46847,,,MARK=E0h
47803,POSTEĽ
49302,,,MARK=E0h
50255,DLAŇ
51754,,,MARK=E0h
52710,KVET
54209,,,MARK=E0h
55398,2+3+1 = 
63382,2+3+1 = 6
64229,1+6+7 = 
64243,5+3+9 = 
69778,5+3+9 = 1
70064,5+3+9 = 17
70488,6+2+6 = 
70506,9+8+8 = 
75463,+
75465,+
105464,Press SPACE to start,1  of 15 trials completed
116993,5
117992,4
118992,3
119992,2
120992,1
121991,+
122991,+
123991,,,MARK=E1h
125286,ŠiŠKA
126739,,,MARK=E0h
127937,MEČ
129438,,,MARK=E0h
130438,CHLIEB
131938,,,MARK=E0h
133137,LOĎ
134638,,,MARK=E0h
135605,ZNAK
137104,,,MARK=E0h
138304,ČAJ
139804,,,MARK=E0h
140771,MINCA
142270,,,MARK=E0h
143470,KRIEDA
144970,,,MARK=E0h
145970,ŽERIAV
147470,,,MARK=E0h
148426,ŠÍPKA
149925,,,MARK=E0h
150925,DIERA
152425,,,MARK=E0h
153425,OVCA
154925,,,MARK=E0h
155823,2+9+8 = 
173984,2+9+8 = 1
174069,2+9+8 = 19
174516,1+8+1 = 
174535,4+5+3 = 
175890,+
175895,+
205892,Press SPACE to start,2  of 15 trials completed
211156,5
212155,4
213155,3
214155,2
215155,1
216154,+
217154,+
218154,,,MARK=E1h
219437,CESTA
220901,,,MARK=E0h
222101,LIST
223601,,,MARK=E0h
224554,VLNA
226054,,,MARK=E0h
227010,MISKA
228509,,,MARK=E0h
229466,ULICA
230966,,,MARK=E0h
231921,PRASA
233420,,,MARK=E0h
234520,KRAVA
236020,,,MARK=E0h
237220,UCHO
238720,,,MARK=E0h
239686,VAŇA
241185,,,MARK=E0h
242285,PERLA
243785,,,MARK=E0h
244750,HUBA
246250,,,MARK=E0h
247250,KOLÁČ
248750,,,MARK=E0h
249957,7+7+3 = 
255385,7+7+3 = 1
255619,7+7+3 = 17
256083,6+9+6 = 
256103,5+3+1 = 
259441,5+3+1 = 9
259755,9+4+3 = 
259775,8+7+7 = 
263748,8+7+7 = 2
263905,8+7+7 = 22
264498,2+4+3 = 
264514,5+1+5 = 
268051,5+1+5 = 1
268213,5+1+5 = 11
268836,5+9+7 = 
268852,4+4+2 = 
270028,+
270030,+
300023,Press SPACE to start,3  of 15 trials completed
305698,5
306698,4
307697,3
308697,2
309697,1
310697,+
311697,+
312696,,,MARK=E1h
313984,VETRÁK
315444,,,MARK=E0h
316401,KRTOK
317900,,,MARK=E0h
318900,KOLESO
320400,,,MARK=E0h
321500,ZÁMOK
323000,,,MARK=E0h
324000,TANK
325500,,,MARK=E0h
326599,SOĽ
328100,,,MARK=E0h
329199,TEHLA
330700,,,MARK=E0h
331900,JAHŇA
333400,,,MARK=E0h
334500,BOMBA
336000,,,MARK=E0h
336964,ZEM
338463,,,MARK=E0h
339419,MYDLO
340918,,,MARK=E0h
341871,PALEC
343371,,,MARK=E0h
344480,8+2+2 = 
347919,8+2+2 = 1
347986,8+2+2 = 12
348508,2+3+5 = 
348530,1+6+9 = 
351840,1+6+9 = 1
352023,1+6+9 = 16
352520,7+3+9 = 
352549,5+7+3 = 
356208,5+7+3 = 1
356368,5+7+3 = 15
356854,8+3+2 = 
356871,2+9+3 = 
364528,+
364532,+
394524,Press SPACE to start,4  of 15 trials completed
400371,5
401371,4
402371,3
403371,2
404370,1
405370,+
406370,+
407370,,,MARK=E1h
408647,BLATO
410102,,,MARK=E0h
411102,BUBON
412602,,,MARK=E0h
413802,PASTA
415303,,,MARK=E0h
416501,KOPEC
418002,,,MARK=E0h
418968,ÚHOR
420467,,,MARK=E0h
421422,MOST
422922,,,MARK=E0h
424022,DREVO
425522,,,MARK=E0h
426522,FILM
428022,,,MARK=E0h
429022,BRÁNA
430522,,,MARK=E0h
431622,PRIEKOPA
433122,,,MARK=E0h
434081,POŠTA
435581,,,MARK=E0h
436537,BAZÉN
438036,,,MARK=E0h
439221,6+6+3 = 
444625,6+6+3 = 1
444755,6+6+3 = 15
444998,9+4+6 = 
445015,1+5+3 = 
448040,1+5+3 = 9
448688,4+9+9 = 
448707,8+6+2 = 
452778,8+6+2 = 1
452968,8+6+2 = 16
453488,5+5+1 = 
453509,8+2+2 = 
456094,8+2+2 = 1
456180,8+2+2 = 12
456887,1+5+3 = 
456903,8+8+8 = 
459254,+
459257,+
489250,Press SPACE to start,5  of 15 trials completed
494969,5
495969,4
496969,3
497969,2
498968,1
499968,+
500968,+
501968,,,MARK=E1h
503251,TAŠKA
504714,,,MARK=E0h
505670,RYBA
507170,,,MARK=E0h
508370,TRÁVA
509870,,,MARK=E0h
510837,BRADA
512337,,,MARK=E0h
513300,PRST
514799,,,MARK=E0h
515899,MAČKA
517399,,,MARK=E0h
518398,VLK
519899,,,MARK=E0h
520899,HAD
522399,,,MARK=E0h
523499,ROHOŽ
524999,,,MARK=E0h
525973,PENA
527472,,,MARK=E0h
528572,DÓZA
530072,,,MARK=E0h
531272,STENA
532772,,,MARK=E0h
533772,3+4+5 = 
538307,3+4+5 = 1
538496,3+4+5 = 12
539015,3+5+7 = 
539034,4+6+4 = 
541220,4+6+4 = 1
541306,4+6+4 = 14
542020,4+2+2 = 
542039,7+8+3 = 
546984,7+8+3 = 1
547142,7+8+3 = 18
547739,1+2+6 = 
547759,5+9+8 = 
